Datum,Verwarming,Water,Temperatuur
2023-10-20,496.936,649.1,11.6
2023-10-21,496.954,649.2,13.0
2023-10-22,496.954,649.3,12.7
2023-10-23,496.998,649.4,10.3
2023-10-24,497.037,649.5,11.7
2023-10-25,497.154,649.6,9.2
2023-10-26,497.199,649.7,9.3
2023-10-27,497.257,649.8,10.4
2023-10-28,497.293,649.9,11.7
2023-10-29,497.293,650.2,13.1
2023-10-30,497.307,650.3,11.3
2023-10-31,497.322,650.4,11.1
2023-11-01,497.354,650.5,12.5
2023-11-02,497.480,650.6,11.0
2023-11-03,497.560,650.8,9.5
2023-11-04,497.669,651.0,9.4
2023-11-05,497.764,651.1,10.4  
2023-11-06,497.804,651.2,9.0 
2023-11-07,497.847,651.2,9.8

2023-11-11,498.232,651.6,7.5
